id;name;address;contact;owner_name;owner_contact;gst_no;is_veg;logo;logo_content_type
1;Cyclocross male Configuration;Electronic meh;Hybrid turquoise;Division Diesel;Internal violet;North Soap;false;../fake-data/blob/hipster.png;image/png
2;waterspout deposit;male;virtual hierarchy;Bicycle Abagail;Chicken Louisiana;compress Southeast;true;../fake-data/blob/hipster.png;image/png
3;Configuration visualize morph;Practical Optimized invoice;Southwest;optimal clearing Leu;Sandwich Intelligent Northeast;Adaptive South;false;../fake-data/blob/hipster.png;image/png
4;Cis;platforms Gorgeous;Smart payment District;Account;Gasoline parsing;Hat alarm rick;true;../fake-data/blob/hipster.png;image/png
5;psst;Jazz Celsius scarily;Kentucky Incredible monitor;Electric;Elenor excellent;Shoes;true;../fake-data/blob/hipster.png;image/png
6;Functionality;Bronze;Wagon sympathetically;posit;natus Nakfa;Table;true;../fake-data/blob/hipster.png;image/png
7;relationships;payment Zinc;coal Table copying;Mills;wherever;Regional bah envisioneer;true;../fake-data/blob/hipster.png;image/png
8;outside Generic;Reactive;disintermediate;users Account;compress Chrysler until;wireless;true;../fake-data/blob/hipster.png;image/png
9;if worth Brazil;whose ringworm Cambridgeshire;tan gosh Handmade;Avon Honda;or;Towels synthesize olive;true;../fake-data/blob/hipster.png;image/png
10;purple parse natural;Bike;niches;primary Dobra Centralized;Towels woeful;expedite North Loan;false;../fake-data/blob/hipster.png;image/png
