id;name;price;description;is_veg;item_available
1;oof sed;Elegant Minivan;programming;false;true
2;Path Southwest;hertz Steel Hybrid;input Buckinghamshire Networked;false;true
3;Global deploy;Market Neon;Shilling Hybrid;false;false
4;female;mindshare Shirt ha;Incredible Platinum strategy;true;true
5;Applications duh;Cronin;SUV quietly parsing;true;true
6;bluetooth;gray;Factors;true;true
7;virtual accoutre silver;Zimbabwe Fiat;models;true;true
8;pixel;Marketing;Fantastic;true;true
9;Marketing kiddingly;including Oriental West;Pickup;false;false
10;Japan cupola Cheese;Florida Cambridgeshire;Central;true;false
